GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),RSUDREPORTING (CODE),RSUDREPORTING (DISPLAY),RSUDREPORTING (URL),RSUDMONITORING (CODE),RSUDMONITORING (DISPLAY),RSUDMONITORING (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_820,Epidemiological data collection for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2504,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,One data collection systems for alcohol and drug use,,,,,,
RSUD_830,Service delivery data collection for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2526,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,One data collection systems for alcohol and drug use disorders,,,,,,
RSUD_870,Epidemiological data collection system for substance use among children and adolescents,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2570,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,ALCOHOL,Alcohol,,,,,,,,Yes,,,,,,
RSUD_870,Epidemiological data collection system for substance use among children and adolescents,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2570,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DRUGS,Drugs,,,,,,,,Yes,,,,,,
RSUD_860,System of monitoring drugs involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,FORENSIC_EXAMS,In forensic examinations (deaths),,No,,,,,,
RSUD_860,System of monitoring drugs involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,TOXICOLOGY_UNITS,In toxicology units (poisonings and intoxications),,No,,,,,,
RSUD_840,Regular reports on epidemiological and service delivery data for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2507,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,EPIDEMIOLOGICAL_DATA_REPORTING,Epidemiological data reporting,,,,,No data,,,,,,
RSUD_840,Regular reports on epidemiological and service delivery data for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2507,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING,Data from health services delivery reporting,,,,,No data,,,,,,
RSUD_850,System of monitoring alcohol involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,FORENSIC_EXAMS,In forensic examinations (deaths),,No data,,,,,,
RSUD_850,System of monitoring alcohol involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,TOXICOLOGY_UNITS,In toxicology units (poisonings and intoxications),,No data,,,,,,
