GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPEDISORDER (CODE),SUBSTANCETYPEDISORDER (DISPLAY),SUBSTANCETYPEDISORDER (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,#indicator+value+num,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,ALCOHOL,Alcohol,,Yes,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,TOBACCO,Tobacco,,Yes,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,ALCOHOL,Alcohol,,No,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,CANNABIS,Cannabis,,No,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,TOBACCO,Tobacco,,No,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,No,,,,,,
RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,No data,,,,,,
RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,No data,,,,,,
RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,No data,,,,,,
RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,CANNABIS,Cannabis,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,No data,,,,,,
